seed,rec_sigma_alpha,err_sigma_alpha,rec_sigma_beta,err_sigma_beta,mse_alpha_trajectory,mse_beta_trajectory
0,0.11996499241263177,0.03996499241263177,0.18639504970514648,0.1363950497051465,0.039663338851376156,2460.262262829668
1,0.09862775269833826,0.01862775269833826,0.15789396707733844,0.10789396707733843,0.005082792008154504,765.239481227336
2,0.07522543817459539,0.004774561825404616,0.0732386326775329,0.0232386326775329,0.025220693945611335,37.98201219935065
3,0.1366150565293299,0.056615056529329896,0.18705896618689088,0.1370589661868909,0.009320208568387674,1720.7785662190058
4,0.08378960087240168,0.0037896008724016828,0.13207976664159468,0.08207976664159468,0.014130743768255488,135.2515355606569
5,0.15102007998506795,0.07102007998506794,0.08187498082864779,0.031874980828647786,0.054804124577064996,364.4734091160289
6,0.06448477328330945,0.015515226716690547,0.14185183880058838,0.09185183880058838,0.04375776967775811,227.7191013696517
7,0.06766251307125161,0.012337486928748392,0.03536004157148866,0.014639958428511346,0.0033381216126552927,22.655201248604797
8,0.14067002574197945,0.06067002574197945,0.09795031429775995,0.04795031429775995,0.022529414915602074,1728.1583459416574
9,0.10889965057602446,0.028899650576024463,0.012224333194354883,0.03777566680564512,0.017039533370476555,23.89438278576831
10,0.11070390289819837,0.030703902898198368,0.012584828973611559,0.037415171026388444,0.003195830279979773,12.35217870568528
11,0.07064846882648507,0.009351531173514935,0.09794096864115333,0.047940968641153325,0.044335008121569076,309.3018128660676
12,0.05997522489732313,0.02002477510267687,0.17991266198368888,0.1299126619836889,0.0032748412254900916,143.27757123945977
13,0.10642504023945062,0.026425040239450623,0.06280519145973908,0.012805191459739074,0.0037218436209919964,120.44796290274591
14,0.08562678811995751,0.00562678811995751,0.06691238017697332,0.016912380176973316,0.0037307517344809023,6.90297183922514
15,0.05800108953019858,0.021998910469801423,0.059153061986124515,0.009153061986124512,0.0124716911384792,6.5035072388706885
16,0.08778070198227732,0.007780701982277316,0.11625614209966981,0.0662561420996698,0.005883168965851615,593.8739917551424
17,0.11559034405383313,0.03559034405383313,0.11203501682379516,0.062035016823795155,0.01944983977773875,1465.0125804126023
18,0.09776316757306129,0.01776316757306129,0.026605898523996807,0.023394101476003196,0.01867075941986675,7.366614603246096
19,0.18517608301824107,0.10517608301824106,0.040245486113110615,0.009754513886889388,0.004716425450447532,6.664054397021941
