seed,rec_sigma_alpha,err_sigma_alpha,rec_sigma_beta,err_sigma_beta,mse_alpha_trajectory,mse_beta_trajectory
0,0.07721236332750762,0.0027876366724923773,0.08545636128416005,0.03545636128416005,0.034920480769218526,281.7242625976967
1,0.08837652970746936,0.008376529707469355,0.08507176496888137,0.03507176496888137,0.005115448556658863,362.861393145464
2,0.08929550389581996,0.009295503895819957,0.049404858234442885,0.0005951417655571181,0.027187344745271725,18.430684644493148
3,0.07659514099053043,0.003404859009469574,0.16989892635431422,0.11989892635431422,0.011830639822552115,1570.629134058914
4,0.060471796953779376,0.019528203046220625,0.0334401600623723,0.016559839937627704,0.01434454741426986,26.173435943740987
5,0.08151863590068517,0.0015186359006851696,0.047081459583077016,0.0029185404169229864,0.0533157706890878,1727.9201246820182
6,0.04629086876634937,0.03370913123365063,0.039420641376833584,0.010579358623166418,0.039535912398898344,13.10781117624063
7,0.07505592938078456,0.004944070619215438,0.0016585987171366529,0.04834140128286335,0.003778980873075643,45.21400448718914
8,0.16754212854547818,0.08754212854547817,0.010068588701369091,0.03993141129863091,0.020587111153320806,128.5871889813654
9,0.0031058634867763,0.0768941365132237,0.006104949163208265,0.04389505083679174,0.007376417079596515,14.638506457930193
10,0.0769665842476059,0.003033415752394103,0.013497875369800946,0.036502124630199057,0.004335555717191618,18.940042604235
11,0.026323161750095345,0.05367683824990466,0.01938563892430005,0.030614361075699953,0.06071238852032506,1010.364666672996
12,0.07356790642318983,0.006432093576810169,0.10253347775024253,0.05253347775024253,0.0036626568934220705,46.89708131189173
13,0.06589945786899289,0.014100542131007116,0.01991666162036558,0.030083338379634422,0.006387155271860623,17.867800332707155
14,0.11958271727744801,0.03958271727744801,0.03490063625474217,0.015099363745257832,0.0031557356892951195,6.8453267385089225
15,0.04839138166594601,0.03160861833405399,0.06264080370855946,0.012640803708559453,0.011323030640396194,5.1907188208760155
16,0.11835609371405466,0.038356093714054657,0.1124840889759622,0.06248408897596219,0.009642945589500324,447.62316730052754
17,0.06497342308684956,0.015026576913150444,0.026700621953636525,0.023299378046363478,0.016520304860902793,15.358695023183936
18,0.02997542475281353,0.05002457524718647,0.0333958202069199,0.016604179793080105,0.03914236851384406,2.369022841154679
19,0.17422590175400282,0.09422590175400282,0.04727549029531824,0.0027245097046817643,0.005887423824492363,10.813799187153391
